,name,address,district,ratings,review_count,opening_hours,opening_hours_span,email_address,phones,web_page,payment_methods,products,services,marks,coordinates
16,"Air Pizza, s.r.o.","Nuselská 14, 140 00 Praha 4-Nusle",Praha 4,0.0,0,"{'Po': '10 - 22', 'Út': '10 - 22', 'St': '10 - 22', 'Čt': '10 - 22', 'Pá': '10 - 22', 'So': '11:30 - 22', 'Ne': '11:30 - 22'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 10.5, 'Ne': 10.5}",cool.pizza@seznam.cz,{'hlavní telefon': '+420 775 580 418'},http://www.coolpizza.cz,,"['pizza', 'saláty', 'lasagne']",['rozvoz pizzy'],,"{'latitude': 50.063364, 'longitude': 14.442493}"
17,"Aishel, s.r.o.","U milosrdných 6/849, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,,,,{'hlavní telefon': '+420 221 665 141'},http://www.shelanu.cz,,,,,"{'latitude': 50.0917, 'longitude': 14.421134}"
18,Al Karim,"Jindřišská 11/898, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,"{'Po': '11 - 20', 'Út': '11 - 20', 'St': '11 - 20', 'Čt': '11 - 20', 'Pá': '11 - 20', 'So': '11 - 20', 'Ne': '11 - 20'}","{'Po': 9.0, 'Út': 9.0, 'St': 9.0, 'Čt': 9.0, 'Pá': 9.0, 'So': 9.0, 'Ne': 9.0}",info@alkarim.cz,{'hlavní telefon': '+420 224 267 081'},http://www.alkarim.cz,['hotově'],,['rozvoz jídel'],,"{'latitude': 50.08369, 'longitude': 14.42764}"
19,Al-Mare Těšnov s. r. o.,"Těšnov 1/1059, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,"{'Po': '11 - 23', 'Út': '11 - 23', 'St': '11 - 23', 'Čt': '11 - 23', 'Pá': '11 - 23', 'So': '11 - 23', 'Ne': '11 - 23'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 12.0, 'Ne': 12.0}",info@al-mare.cz,{'hlavní telefon': '+420 222 509 710'},http://www.al-mare.cz,,,['denní menu'],,"{'latitude': 50.09079, 'longitude': 14.43658}"
20,ALBIO,"Truhlářská 20/1119, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,,,,"{'hlavní telefon': '+420 222 317 902', 'další telefon': '+420 224 815 450'}",,,,,,"{'latitude': 50.090683, 'longitude': 14.431024}"
21,ALDEN,"Americká 20/875, 120 00 Praha 2-Vinohrady",Praha 2,0.0,0,,,,{'hlavní telefon': '+420 222 514 165'},,,,,,"{'latitude': 50.072699, 'longitude': 14.438263}"
22,ALDENTE TRATTORIA ITALIANA,"Vězeňská 4/911, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,,,,"{'hlavní telefon': '+420 222 313 185', 'další telefon': '+420 222 317 289'}",,['hotově'],,['restaurace'],,"{'latitude': 50.090152, 'longitude': 14.421632}"
23,Aleš Tománek,"Vilímkova 1242, 156 00 Praha-Zbraslav-Zbraslav",Praha 5,0.0,0,,,,{'hlavní telefon': '+420 257 921 449'},,,,,,"{'latitude': 49.966218, 'longitude': 14.380475}"
24,"Alforno Focacceria Italiana - FINE FOOD CZ, s. r. o.","Petrské náměstí 4/1426, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,"{'Po': '11 - 23', 'Út': '11 - 23', 'St': '11 - 23', 'Čt': '11 - 23', 'Pá': '11 - 23', 'So': '11 - 23', 'Ne': '11 - 23'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 12.0, 'Ne': 12.0}",info@al-forno.cz,{'hlavní telefon': '+420 222 316 011'},http://www.al-forno.cz,['hotově'],['pizza'],,,"{'latitude': 50.09137, 'longitude': 14.43238}"
25,ALLEGRO,"Veleslavínova 2/1098, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,"{'Po': '11 - 23:59', 'Út': '11 - 23:59', 'St': '11 - 23:59', 'Čt': '11 - 23:59', 'Pá': '11 - 23:59', 'So': '11 - 23:59', 'Ne': '11 - 23:59'}","{'Po': 12.98, 'Út': 12.98, 'St': 12.98, 'Čt': 12.98, 'Pá': 12.98, 'So': 12.98, 'Ne': 12.98}",,"{'hlavní telefon': '+420 221 426 880', 'další telefon': '+420 221 427 000'}",,['hotově'],,,,"{'latitude': 50.087773, 'longitude': 14.414333}"
26,ALMA restaurace ALMA,"Žatecká 10/53, 110 00 Praha 1-Josefov",Praha 1,0.0,0,,,,{'hlavní telefon': '+420 737 731 201'},,,,,,"{'latitude': 50.088547, 'longitude': 14.417909}"
27,"ALMIRA MV, s.r.o.","Štupartská 9/745, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,,,,"{'hlavní telefon': '+420 222 314 308', 'další telefon': '+420 222 315 185'}",,,,,,"{'latitude': 50.087799, 'longitude': 14.424818}"
28,ALOHA - MUSIC CLUB & COCKTAIL BAR PRAHA,"Dušní 11/8, 110 00 Praha 1-Josefov",Praha 1,70.0,1,"{'Po': ['0 - 2', '9:30 - 23:59'], 'Út': ['0 - 2', '9:30 - 23:59'], 'St': ['0 - 2', '9:30 - 23:59'], 'Čt': ['0 - 5', '9:30 - 23:59'], 'Pá': ['0 - 5', '9:30 - 23:59'], 'So': ['0 - 5', '9:30 - 23:59'], 'Ne': ['0 - 5', '9:30 - 23:59']}","{'Po': 16.48, 'Út': 16.48, 'St': 16.48, 'Čt': 19.48, 'Pá': 19.48, 'So': 19.48, 'Ne': 19.48}",info@alohapraha.cz,{'hlavní telefon': '+420 602 251 392'},http://www.alohapraha.cz,"['MASTERCARD', 'hotově', 'American Express', 'VISA']",['Business Menu'],['Privátní akce'],,"{'latitude': 50.09053, 'longitude': 14.420272}"
29,Alois Filip,"K Cikánce 12/324, 154 00 Praha-Slivenec-Slivenec",Praha 5,0.0,0,,,,{'hlavní telefon': '+420 222 522 054'},http://www.merlin-pub.cz,,,,,"{'latitude': 50.016315, 'longitude': 14.354978}"
30,Alpská restaurace,"Jenštejnská 2/1776, 120 00 Praha 2-Nové Město",Praha 2,0.0,0,"{'Po': '11 - 23', 'Út': '11 - 23', 'St': '11 - 23', 'Čt': '11 - 23', 'Pá': '11 - 23', 'So': '11 - 23', 'Ne': '11 - 23'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 12.0, 'Ne': 12.0}",,{'hlavní telefon': '+420 222 513 667'},http://www.alpskarestaurace.cz,['hotově'],,['denní menu'],,"{'latitude': 50.07502, 'longitude': 14.41614}"
31,"Alriso, s.r.o.","Betlémské náměstí 11/259, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,"{'Po': '11 - 23', 'Út': '11 - 23', 'St': '11 - 23', 'Čt': '11 - 23', 'Pá': '11 - 23', 'So': '11 - 23', 'Ne': '11 - 23'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 12.0, 'Ne': 12.0}",info@al-riso.cz,{'hlavní telefon': '+420 222 233 341'},http://www.al-riso.cz,,,"['dárkový voucher', 'bezlepková jídla']",,"{'latitude': 50.08391, 'longitude': 14.41682}"
32,Ambiente - The Living Restaurant,"Mánesova 59/1391, 120 00 Praha 2-Vinohrady",Praha 2,0.0,0,,,manesova@ambi.cz,{'hlavní telefon': '+420 222 727 851'},http://www.ambi.cz,['hotově'],,['Nekuřácká restaurace'],,"{'latitude': 50.077812, 'longitude': 14.444087}"
33,Ambiente restaurace,"Maiselova 38/15, 110 00 Praha 1-Josefov",Praha 1,92.0,1,"{'Po': '9 - 17', 'Út': '9 - 17', 'St': '9 - 17', 'Čt': '9 - 17', 'Pá': '9 - 17', 'So': None, 'Ne': None}","{'Po': 8.0, 'Út': 8.0, 'St': 8.0, 'Čt': 8.0, 'Pá': 8.0, 'So': None, 'Ne': None}",info@ambi.cz,{'hlavní telefon': '+420 222 714 990'},http://www.ambi.cz,"['VISA', 'hotově', 'American Express', 'MASTERCARD']",,,,"{'latitude': 50.089592, 'longitude': 14.4181715}"
34,AMBROISIE CAFFÉ RESTAURANT,"Rybná 14/682, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,"{'Po': '9 - 22', 'Út': '9 - 22', 'St': '9 - 22', 'Čt': '9 - 22', 'Pá': '9 - 22', 'So': None, 'Ne': None}","{'Po': 13.0, 'Út': 13.0, 'St': 13.0, 'Čt': 13.0, 'Pá': 13.0, 'So': None, 'Ne': None}",info@ambroisie.cz,"{'hlavní telefon': '+420 602 144 223', 'další telefon': '+420 221 842 121'}",http://www.ambroisie.cz,['hotově'],,,,"{'latitude': 50.089453, 'longitude': 14.426609}"
35,AMBROZIE,"Moskevská 58/617, 101 00 Praha 10-Vršovice",Praha 10,0.0,0,,,,{'hlavní telefon': '+420 271 743 472'},,,,,,"{'latitude': 50.068357, 'longitude': 14.457455}"
36,Amfora restaurant,"Sokolovská 71/161, 186 00 Praha 8-Karlín",Praha 8,0.0,0,"{'Po': '9 - 23', 'Út': '9 - 23', 'St': '9 - 23', 'Čt': '9 - 23', 'Pá': '9 - 23', 'So': '11 - 23', 'Ne': '11 - 23'}","{'Po': 14.0, 'Út': 14.0, 'St': 14.0, 'Čt': 14.0, 'Pá': 14.0, 'So': 12.0, 'Ne': 12.0}",amforarestaurant@seznam.cz,{'hlavní telefon': '+420 602 204 050'},http://www.amforarestaurant.cz,"['VISA', 'hotově']",,,,"{'latitude': 50.093665, 'longitude': 14.448609}"
37,AMI RESTAURANT s.r.o.,"Veselská 663, 199 00 Praha 18-Letňany",Praha 9,0.0,0,,,,"{'hlavní telefon': '+420 286 921 331', 'další telefon': '+420 286 921 330'}",,,,,,"{'latitude': 50.142724, 'longitude': 14.505451}"
38,Amigos - restaurace s mexickou a českou kuchyní,"Horymírovo náměstí 9/1416, 153 00 Praha 16-Radotín",Praha 5,0.0,0,,,,{'hlavní telefon': '+420 257 214 847'},http://www.amigos.cz,,,,,"{'latitude': 49.98253, 'longitude': 14.36225}"
39,AMOS RESTAURANT,"Masná 17/698, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,"{'Po': '11 - 23', 'Út': '11 - 23', 'St': '11 - 23', 'Čt': '11 - 23', 'Pá': '11 - 23', 'So': '11 - 23', 'Ne': '11 - 23'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 12.0, 'Ne': 12.0}",info@amosrestaurant.cz,{'hlavní telefon': '+420 222 323 933'},http://www.amosrestaurant.cz,['hotově'],"['Předkrmy, Saláty, Dezerty', 'Česká jídla, Těstoviny, Risotta', 'Steaky, Nápoje']",['Restaurační'],['Pilsner Urquell'],"{'latitude': 50.089764, 'longitude': 14.425034}"
40,AN QI INTERNATIONAL TRADING spol. s r.o.,"Oblouková 36/944, 101 00 Praha 10-Vršovice",Praha 10,0.0,0,,,,{'hlavní telefon': '+420 271 724 352'},,,,,,"{'latitude': 50.068161, 'longitude': 14.454709}"
41,Ananta vegetarian restaurant,"Elišky Peškové 6/469, 150 00 Praha 5-Smíchov",Praha 5,0.0,0,"{'Po': '11 - 21', 'Út': '11 - 21', 'St': '11 - 21', 'Čt': '11 - 21', 'Pá': '11 - 21', 'So': None, 'Ne': None}","{'Po': 10.0, 'Út': 10.0, 'St': 10.0, 'Čt': 10.0, 'Pá': 10.0, 'So': None, 'Ne': None}",jatel.p@seznam.cz,{'hlavní telefon': '+420 775 960 708'},http://www.anantasesa.cz,"['SODEXO', 'hotově', 'CHEQUEDEJEUNER']","['Indická kuchyně', 'Vegetariánská kuchyně', 'Denní menu']","['Čajovna', 'Nekuřácká restaurace', 'Živá hudba']",,"{'latitude': 50.077334, 'longitude': 14.405462}"
42,ANDĚL APARTMENTS,"Nádražní 114/60, 150 00 Praha 5-Smíchov",Praha 5,0.0,0,,,,"{'hlavní telefon': '+420 257 326 213', 'další telefon': '+420 257 222 111'}",,,,,,"{'latitude': 50.071092, 'longitude': 14.405137}"
43,ANDĚL CITY,"Karla Engliše 3211, 150 00 Praha",Praha 5,0.0,0,,,,{'hlavní telefon': '+420 602 568 021'},,,,,,"{'latitude': 50.06998, 'longitude': 14.402194}"
44,Andělská mrcha s.r.o.,"Marie Cibulkové 14/379, 140 00 Praha 4-Nusle",Praha 4,0.0,0,"{'Po': '11 - 23', 'Út': '11 - 23', 'St': '11 - 23', 'Čt': '11 - 23', 'Pá': '11 - 23', 'So': '17 - 23', 'Ne': '17 - 23'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 6.0, 'Ne': 6.0}",andelska.mrcha.sro@seznam.cz,{'hlavní telefon': '+420 773 481 313'},http://www.andelskamrcha.cz,"['CHEQUEDEJEUNER', 'SODEXO', 'TICKETRESTAURANT', 'VISA', 'hotově']",,,,"{'latitude': 50.059265, 'longitude': 14.427659}"
45,Andre Saab,"U milosrdných 4/848, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,,,,"{'hlavní telefon': '+420 774 511 234', 'další telefon': '+420 776 304 478'}",http://www.karmalounge.cz,,,,,"{'latitude': 50.091682, 'longitude': 14.42087}"
46,ANGEL restaurant,"V Kolkovně 7/908, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,,,,{'hlavní telefon': '+420 773 222 422'},,['hotově'],,['restaurace'],,"{'latitude': 50.08964, 'longitude': 14.42147}"
47,Anna Bradáčová,"Pomořanská 2/472, 181 00 Praha 8-Troja",Praha 8,0.0,0,,,,{'hlavní telefon': '+420 739 071 498'},,,,,,"{'latitude': 50.125619, 'longitude': 14.40954}"
48,Anno Domini 1471,"Čermákova 7/1314, 120 00 Praha 2-Vinohrady",Praha 2,0.0,0,"{'Po': None, 'Út': '16 - 23:59', 'St': '16 - 23:59', 'Čt': '16 - 23:59', 'Pá': '16 - 23:59', 'So': '16 - 23:59', 'Ne': None}","{'Po': None, 'Út': 7.98, 'St': 7.98, 'Čt': 7.98, 'Pá': 7.98, 'So': 7.98, 'Ne': None}",krcmapraha@krcmapraha.cz,{'hlavní telefon': '+420 736 539 847'},http://www.krcmapraha.cz,,,['firemní akce'],,"{'latitude': 50.071226, 'longitude': 14.441432}"
49,Antal,"Antala Staška 27/410, 140 00 Praha 4-Krč",Praha 4,0.0,0,"{'Po': '11 - 23:59', 'Út': '11 - 23:59', 'St': '11 - 23:59', 'Čt': '11 - 23:59', 'Pá': '11 - 23:59', 'So': '11 - 23:59', 'Ne': '11 - 23'}","{'Po': 12.98, 'Út': 12.98, 'St': 12.98, 'Čt': 12.98, 'Pá': 12.98, 'So': 12.98, 'Ne': 12.0}",,{'hlavní telefon': '+420 241 402 782'},http://www.antal.unas.cz,"['TICKETRESTAURANT', 'DINERSCLUB', 'CHEQUEDEJEUNER', 'VISA', 'SODEXO', 'American Express', 'MASTERCARD']","['pivo z tanku', 'předkrmy', 'polévky', 'hotová jídla', 'minutky', 'ryby', 'těstoviny', 'saláty', 'alkoholické nápoje', 'nealkoholické nápoje', 'víno', 'teplé nápoje', 'zmrzlina']",,"['Pilsner Urquell', 'Velkopopovický Kozel', 'Radegast', 'Coca-Cola', 'Nestea', 'Red Bull', 'Bonaqua', 'Illy', 'Bohemia Sekt', 'Carit Trento']","{'latitude': 50.040795, 'longitude': 14.439164}"
50,"Antique Shopping, s.r.o.","Mánesova 7/1091, 120 00 Praha 2-Vinohrady",Praha 2,0.0,0,,,,"{'hlavní telefon': '+420 222 211 192', 'další telefon': '+420 222 211 194'}",,,,,,"{'latitude': 50.079348, 'longitude': 14.435468}"
51,ANTONÍN STARÝ - Firma Starý,"Pplk. Sochora 20/983, 170 00 Praha 7-Holešovice",Praha 7,0.0,0,,,,{'hlavní telefon': '+420 220 879 428'},,,,,,"{'latitude': 50.09986, 'longitude': 14.43389}"
52,AP TRUST a.s.,"nám. Republiky 1/1078, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,,,,{'hlavní telefon': '+420 222 311 221'},,,,,,"{'latitude': 50.089204, 'longitude': 14.428594}"
53,AP TRUST a.s.,"Hybernská 24/1009, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,,,,{'hlavní telefon': '+420 378 121 301'},,,,,,"{'latitude': 50.086917, 'longitude': 14.433777}"
54,Apetit samoobslužná restaurace a pivnice,"Vodičkova 699/30, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,"{'Po': '9 - 23:59', 'Út': '9 - 23:59', 'St': '9 - 23:59', 'Čt': '9 - 23:59', 'Pá': '9 - 23:59', 'So': '9 - 23:59', 'Ne': '9 - 23:59'}","{'Po': 14.98, 'Út': 14.98, 'St': 14.98, 'Čt': 14.98, 'Pá': 14.98, 'So': 14.98, 'Ne': 14.98}",apetitpraha@post.cz,{'hlavní telefon': '+420 224 162 619'},http://www.apetitpraha.cz,,,"['restaurace', 'pivnice']",,"{'latitude': 50.0809742, 'longitude': 14.424574}"
55,APPROX.CZ s.r.o.,"Na Dolinách 36/128, 147 00 Praha 4-Podolí",Praha 4,0.0,0,,,,{'hlavní telefon': '+420 603 865 100'},,,,,,"{'latitude': 50.057386, 'longitude': 14.426903}"
56,AQUA-SUN spol. s r.o.,"Na Štěpnici 37/1646, 182 00 Praha 8-Libeň",Praha 8,0.0,0,,,tommikulenka@seznam.cz,"{'hlavní telefon': '+420 233 542 456', 'další telefon': '+420 222 933 878'}",http://www.ukrbu-padrino.cz,,,,,"{'latitude': 50.125542, 'longitude': 14.474564}"
57,ARENA RESTAURACE,"U Trojského zámku 9/35, 171 00 Praha-Troja-Troja",Praha 7,0.0,0,,,catering@trojacatering.cz,{'hlavní telefon': '+420 603 107 964'},,,,,,"{'latitude': 50.116847, 'longitude': 14.411346}"
58,Argument Restaurant,"Bubenečská 352/19, 160 00 Praha 6-Bubeneč",Praha 6,95.0,1,"{'Po': '11:30 - 23:30', 'Út': '11:30 - 23:30', 'St': '11:30 - 23:30', 'Čt': '11:30 - 23:30', 'Pá': '11:30 - 23:30', 'So': '11:30 - 23:30', 'Ne': '12 - 22'}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.0, 'Pá': 12.0, 'So': 12.0, 'Ne': 10.0}",info@argument-restaurant.cz,{'hlavní telefon': '+420 220 510 427'},http://argument-restaurant.cz,"['VISA', 'DINERSCLUB', 'MASTERCARD', 'hotově']",,,,"{'latitude': 50.0997797, 'longitude': 14.4039417}"
59,"Archa - Czech, s.r.o.","Hornopočernická 23/245, 197 00 Praha 19-Kbely",Praha 9,0.0,0,,,,"{'hlavní telefon': '+420 608 700 663', 'další telefon': '+420 608 700 660'}",http://www.rzubr.eu,,,,,"{'latitude': 50.127856, 'longitude': 14.554275}"
60,"Archibald, spol. s r.o.","Freyova 27/82, 190 00 Praha 9-Vysočany",Praha 9,0.0,0,,,,{'hlavní telefon': '+420 266 035 811'},,,,,,"{'latitude': 50.108277, 'longitude': 14.501335}"
61,"Aroha, s.r.o.","Ve struhách 64/1021, 160 00 Praha 6-Bubeneč",Praha 6,0.0,0,,,,{'hlavní telefon': '+420 481 522 662'},http://www.hasan.cz,,,,,"{'latitude': 50.111788, 'longitude': 14.39565}"
62,Aromi,"Mánesova 442/78, 120 00 Praha 2-Vinohrady",Praha 2,0.0,0,"{'Po': '12 - 23', 'Út': '12 - 23', 'St': '12 - 23', 'Čt': '12 - 23', 'Pá': '12 - 23', 'So': '12 - 23', 'Ne': '12 - 22'}","{'Po': 11.0, 'Út': 11.0, 'St': 11.0, 'Čt': 11.0, 'Pá': 11.0, 'So': 11.0, 'Ne': 10.0}",info@aromi.cz,{'hlavní telefon': '+420 222 713 222'},http://www.aromi.cz,['hotově'],,,,"{'latitude': 50.0777, 'longitude': 14.44635}"
63,Aromi - Enoteca Con Cucina,"náměstí Míru 6/1234, 120 00 Praha 2-Vinohrady",Praha 2,0.0,0,,,info@aromi.cz,{'hlavní telefon': '+420 222 713 222'},http://www.aromi.cz,,,,,"{'latitude': 50.07616, 'longitude': 14.43636}"
